CustomerID,AccountNumber,city,latitude,longitude,population,total_orders,total_spent,avg_order_value,days_since_last_purchase,days_since_first_purchase,unique_products,avg_days_between_orders,orders_per_month,customer_cohort,will_buy_soon,will_buy_again_6m,has_purchase_history,has_repeat_order_history,population_missing,city_class,favorite_category_Bikes,favorite_category_Clothing,favorite_category_Components,favorite_category_Unknown,geographic_area,distance_to_major_city_km,has_geographic_match,city_class_major,is_recent_buyer,is_at_risk,is_churned,value_per_product,spending_intensity,is_frequent_buyer,frequency_score,consistency_score,customer_lifetime,engagement_score,product_diversity,recency_monetary,frequency_monetary,recency_segment_recent,recency_segment_moderate,recency_segment_old,recency_segment_very_old,spending_tier_low,spending_tier_medium,country_Australia,country_France,country_Germany,country_United Kingdom,country_United States
30,AW00000030,Quebec,46.806965025,-71.218914284,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
31,AW00000031,Paris,48.8319164,2.3558551,11060000.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Paris,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0
32,AW00000032,Stuttgart,48.775816999,9.177734,2787727.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Stuttgart,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
33,AW00000033,Lavender Bay,-33.8433,151.207,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0
34,AW00000034,Warrington,53.3839052,-2.5997651,165456.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Liverpool,25.319066315024358,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0
35,AW00000035,West Kingston,41.5004457,-71.5899834,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
36,AW00000036,South Bend,41.6709619,-86.2530218,279977.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,South Bend,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
37,AW00000037,Puyallup,47.1990211,-122.3119354,42746.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Tacoma,13.241617329615611,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
38,AW00000038,Billings,45.7719654,-108.5111635,129267.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Salt Lake City,621.1146377153507,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
39,AW00000039,Edina,44.905584,-93.369457,53262.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Minneapolis,11.041390316353773,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
40,AW00000040,Laredo,27.5138197,-99.500703,257619.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Laredo,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
41,AW00000041,Milpitas,37.431482,-121.89144,78578.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_San Jose,10.027965342525924,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
42,AW00000042,Newport Beach,33.598609,-117.869751,83845.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Irvine,9.628750906707078,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
43,AW00000043,Salt Lake City,40.7584336,-111.8975729,1183003.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Salt Lake City,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
44,AW00000044,Huntsville,34.7235335,-86.5756256,368074.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Huntsville,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
45,AW00000045,La Vergne,36.0115774,-86.5715097,40243.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Nashville,25.18587754518729,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
46,AW00000046,Calgary,51.048658387,-114.075156015,1306784.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Calgary,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
47,AW00000047,Toronto,43.710546895727,-79.300285223546,5647656.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Toronto,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
48,AW00000048,Montreal,45.552371673078,-73.579875190547,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
49,AW00000049,Roncq,50.7542177,3.1205365,14075.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Roubaix,7.921444167755458,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0
50,AW00000050,Berlin,52.435047,13.19789,4679500.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Berlin,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
51,AW00000051,Cloverdale,-31.9564,115.938,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0
52,AW00000052,Gloucestershire,51.712049004488,-1.970296428525,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0
53,AW00000053,Norwood,42.1877392,-71.2013672,31542.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Nashua,68.88500848679273,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
54,AW00000054,Melville,40.784861,-73.411179,19714.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_New Haven,70.96369070782022,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
55,AW00000055,Medford,42.333471,-122.849262,170502.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Salem,290.9971994295486,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
56,AW00000056,Portland,45.5214584,-122.687459,2115140.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Portland,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
57,AW00000057,West Chicago,41.896907,-88.2102974,25395.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Chicago,47.71467788128944,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
58,AW00000058,Chicago,41.9057433,-87.6338894,8609571.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Chicago,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
59,AW00000059,Visalia,36.3384321,-119.3228691,167944.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Oxnard,237.409675819884,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
60,AW00000060,Hayward,37.6736067,-122.0896983,158801.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Oakland,21.296773542414062,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
61,AW00000061,Fullerton,33.8763837,-117.8929882,140968.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Santa Ana,14.522394160129027,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
62,AW00000062,Nashville,36.1502044,-86.793148,1201962.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Nashville,1.1422890191274684e-12,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
63,AW00000063,Greensboro,36.066511,-79.805538,342060.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Greensboro,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
64,AW00000064,Toronto,43.710546895727,-79.300285223546,5647656.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Toronto,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
65,AW00000065,Weston,43.755775058528,-79.599530147202,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
66,AW00000066,Burnaby,49.246902935,-122.996963921,249125.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Small City,0,0,0,1,around_Vancouver,7.96989434968947,1,0,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
67,AW00000067,Verrieres Le Buisson,48.7462569,2.2667764,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0
68,AW00000068,Muehlheim,50.11667,8.83333,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0
69,AW00000069,Lavender Bay,-33.8433,151.207,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0
70,AW00000070,London,51.420287318258,-0.207126382835,11262000.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,London,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0
71,AW00000071,Farmington,41.7229734,-72.8331333,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
72,AW00000072,Nashua,42.774468,-71.470949,240705.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Nashua,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
73,AW00000073,North Bend,47.4829032,-121.76555,107037.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,1,Unknown,0,0,0,1,Unknown,-1.0,0,-1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
74,AW00000074,Portland,45.5214584,-122.687459,2115140.0,0.0,0.0,0.0,0,0,0.0,279.25,0.0,never_purchased,0,0,0,0,0,Major City,0,0,0,1,Portland,0.0,1,1,1,0,0,0.0,0.0,0,0.0,0.003568242640499554,0,0.3010704727921499,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1
